epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,18033.4,1.19071,0.59083,1.09013,0.8004,0.83232,0.86508,0.53924,0.80041,0.51198,0.95181,0.006436,0.006436,0.006436
74,18278.7,1.21245,0.59968,1.08886,0.79599,0.83243,0.87607,0.54548,0.79747,0.50159,0.95066,0.0063865,0.0063865,0.0063865
75,18525.7,1.1906,0.59041,1.08492,0.79006,0.82971,0.87268,0.54274,0.80323,0.50522,0.95277,0.006337,0.006337,0.006337
76,18773.2,1.20036,0.59975,1.08851,0.78675,0.84572,0.87406,0.5421,0.80136,0.50897,0.95327,0.0062875,0.0062875,0.0062875
77,19018.9,1.19626,0.58802,1.08179,0.77744,0.8513,0.87511,0.54399,0.80309,0.50981,0.95401,0.006238,0.006238,0.006238
78,19263.7,1.1835,0.5889,1.07985,0.79385,0.82667,0.86768,0.54135,0.7966,0.50286,0.95207,0.0061885,0.0061885,0.0061885
79,19512.5,1.19879,0.59482,1.08785,0.79786,0.82841,0.86789,0.54158,0.79499,0.51378,0.95173,0.006139,0.006139,0.006139
80,19757.4,1.18655,0.59397,1.0825,0.78418,0.81489,0.86199,0.54132,0.79385,0.50695,0.95286,0.0060895,0.0060895,0.0060895
81,20002.6,1.19128,0.58868,1.07934,0.79934,0.82032,0.86958,0.54448,0.79172,0.50266,0.95124,0.00604,0.00604,0.00604
82,20246.8,1.17076,0.57735,1.07686,0.80896,0.82491,0.87124,0.54392,0.79011,0.50314,0.95202,0.0059905,0.0059905,0.0059905
83,20494.5,1.19321,0.59093,1.07827,0.79256,0.81418,0.86426,0.54234,0.7926,0.50177,0.95223,0.005941,0.005941,0.005941
84,20741.8,1.18276,0.58837,1.07972,0.78751,0.82733,0.86913,0.54652,0.78701,0.49891,0.95009,0.0058915,0.0058915,0.0058915
85,20989.9,1.19338,0.59093,1.08204,0.7879,0.83257,0.86725,0.54339,0.78556,0.50334,0.94906,0.005842,0.005842,0.005842
86,21236.3,1.17781,0.59087,1.06952,0.78278,0.82524,0.86349,0.54386,0.78353,0.50598,0.94868,0.0057925,0.0057925,0.0057925
87,21480.6,1.1903,0.5883,1.07858,0.77498,0.83711,0.87296,0.54724,0.78391,0.50702,0.94872,0.005743,0.005743,0.005743
88,21728.2,1.17221,0.58584,1.0789,0.78188,0.83883,0.87272,0.54855,0.78503,0.50079,0.94912,0.0056935,0.0056935,0.0056935
89,21975.7,1.1793,0.5811,1.07452,0.78318,0.84464,0.87205,0.54775,0.78419,0.50329,0.94846,0.005644,0.005644,0.005644
90,22223.3,1.16417,0.58417,1.06732,0.79169,0.84439,0.87504,0.55058,0.78299,0.50397,0.94718,0.0055945,0.0055945,0.0055945
91,22467.4,1.16748,0.57529,1.06983,0.79069,0.84961,0.87989,0.55089,0.78781,0.50232,0.94927,0.005545,0.005545,0.005545
92,22712.3,1.18108,0.58543,1.07904,0.79365,0.85594,0.87789,0.54938,0.78679,0.49872,0.94968,0.0054955,0.0054955,0.0054955
93,22966.1,1.16599,0.58435,1.0745,0.7937,0.86243,0.87933,0.5495,0.78337,0.49913,0.94854,0.005446,0.005446,0.005446
94,23208.1,1.16467,0.57957,1.06988,0.78165,0.8625,0.87612,0.54883,0.7816,0.50113,0.94847,0.0053965,0.0053965,0.0053965
95,23456.8,1.16508,0.57209,1.07237,0.77753,0.86152,0.87464,0.54844,0.78261,0.50132,0.94989,0.005347,0.005347,0.005347
96,23704,1.16718,0.57683,1.07406,0.77966,0.84659,0.87356,0.55007,0.78129,0.49757,0.94987,0.0052975,0.0052975,0.0052975
97,23953.1,1.14422,0.57206,1.06141,0.77784,0.84253,0.8718,0.54881,0.77879,0.50131,0.94872,0.005248,0.005248,0.005248
